Step,AgentID,Citizen Coordinates,Citizen Position,Health
0,Citizen_17323,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17324,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17325,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17326,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17327,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17328,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17329,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17330,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17331,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17332,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17333,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17334,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17335,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17336,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17337,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17338,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17339,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17340,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17341,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17342,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17343,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17344,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17345,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17346,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17347,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17348,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17349,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17350,"(21756.53166, 3216.96804)",8986,13
0,Citizen_17351,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17352,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17353,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17354,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17355,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17356,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17357,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17358,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17359,"(22919.54825, 3313.44633)",1086,13
0,Citizen_17360,"(22919.54825, 3313.44633)",1086,13
